AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,AveErr,ErrDeg
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
