AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual
'-129,'-129,613511.5742209443,5842713.441663447,613555.0135379494,5842748.043371123,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.53,-129,0,0,9.6,4
'-129,'-129,613511.8372507584,5842713.098968331,613555.2655503061,5842747.692219745,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.51,-129,0,0,9.2,4
'-129,'-129,613511.8372507584,5842713.098968331,613555.2655503061,5842747.692219745,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.51,-129,0,0,9.2,4
'-129,'-129,613512.130385511,5842712.717050227,613555.5223118505,5842747.282384004,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.47,-129,0,0,8.7,4
'-129,'-129,613512.130385511,5842712.717050227,613555.5223118505,5842747.282384004,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.47,-129,0,0,8.7,4
'-129,'-129,613512.130385511,5842712.717050227,613555.5223118505,5842747.282384004,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.47,-129,0,0,8.7,4
'-129,'-129,613512.4003282771,5842712.365348396,613555.7384763098,5842746.889405547,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.4,-129,0,0,8.2,4
'-129,'-129,613512.4003282771,5842712.365348396,613555.7384763098,5842746.889405547,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.4,-129,0,0,8.2,4
'-129,'-129,613512.6886214975,5842711.989738206,613555.9972205446,5842746.491115535,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.36,-129,0,0,7.8,4
'-129,'-129,613512.6886214975,5842711.989738206,613555.9972205446,5842746.491115535,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.36,-129,0,0,7.8,4
'-129,'-129,613512.6886214975,5842711.989738206,613555.9972205446,5842746.491115535,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.36,-129,0,0,7.8,4
'-129,'-129,613512.9720991493,5842711.620402103,613556.2455579737,5842746.094808151,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.32,-129,0,0,7.3,4
'-129,'-129,613512.9720991493,5842711.620402103,613556.2455579737,5842746.094808151,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.32,-129,0,0,7.3,4
'-129,'-129,613513.2378969816,5842711.2741006045,613556.4683847533,5842745.715524951,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.26,-129,0,0,6.9,4
'-129,'-129,613513.2378969816,5842711.2741006045,613556.4683847533,5842745.715524951,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.26,-129,0,0,6.9,4
'-129,'-129,613513.2378969816,5842711.2741006045,613556.7083371549,5842745.297321254,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.26,-129,0,0,6.4,4
'-129,'-129,613513.5288420133,5842710.8950354345,613556.7083371549,5842745.297321254,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.2,-129,0,0,6.4,4
'-129,'-129,613513.5288420133,5842710.8950354345,613556.7083371549,5842745.297321254,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.2,-129,0,0,6.4,4
'-129,'-129,613513.8216417965,5842710.513553754,613556.9230431691,5842744.855900028,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.1,-129,0,0,5.9,4
'-129,'-129,613513.8216417965,5842710.513553754,613556.9230431691,5842744.855900028,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.1,-129,0,0,5.9,4
'-129,'-129,613513.8216417965,5842710.513553754,613556.9230431691,5842744.855900028,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.1,-129,0,0,5.9,4
'-129,'-129,613514.0892149801,5842710.164939194,613557.1390952623,5842744.46774133,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.04,-129,0,0,5.5,4
'-129,'-129,613514.0892149801,5842710.164939194,613557.1390952623,5842744.46774133,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.04,-129,0,0,5.5,4
'-129,'-129,613514.3726194653,5842709.795698418,613557.3485978495,5842744.041778407,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.94,-129,0,0,5.0,4
'-129,'-129,613514.3726194653,5842709.795698418,613557.3485978495,5842744.041778407,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.94,-129,0,0,5.0,4
'-129,'-129,613514.3726194653,5842709.795698418,613557.3485978495,5842744.041778407,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.94,-129,0,0,5.0,4
'-129,'-129,613514.6073710065,5842709.489846373,613557.4342053405,5842743.621453381,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.75,-129,0,0,4.6,4
'-129,'-129,613514.6073710065,5842709.489846373,613557.4342053405,5842743.621453381,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.75,-129,0,0,4.6,4
'-129,'-129,613514.7450979815,5842709.310405264,613557.2767930711,5842743.215483158,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.38,-129,0,0,4.3,4
'-129,'-129,613514.7450979815,5842709.310405264,613557.2767930711,5842743.215483158,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.38,-129,0,0,4.3,4
'-129,'-129,613514.7450979815,5842709.310405264,613557.2767930711,5842743.215483158,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.38,-129,0,0,4.3,4
'-129,'-129,613514.842827498,5842709.183075866,613557.0896014898,5842742.869467412,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.02,-129,0,0,4.0,4
'-129,'-129,613514.842827498,5842709.183075866,613557.0896014898,5842742.869467412,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 54.02,-129,0,0,4.0,4
'-129,'-129,613514.9258632818,5842709.074890573,613556.8577912028,5842742.519627365,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 53.63,-129,0,0,3.8,4
'-129,'-129,613514.9258632818,5842709.074890573,613556.8577912028,5842742.519627365,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 53.63,-129,0,0,3.8,4
'-129,'-129,613514.9258632818,5842709.074890573,613556.8577912028,5842742.519627365,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 53.63,-129,0,0,3.8,4
'-129,'-129,613514.980651145,5842709.003508805,613556.5910069739,5842742.201428401,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 53.22,-129,0,0,3.6,4
'-129,'-129,613514.980651145,5842709.003508805,613556.5910069739,5842742.201428401,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 53.22,-129,0,0,3.6,4
'-129,'-129,613515.0224726576,5842708.9490205785,613556.2669634941,5842741.866126715,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 52.76,-129,0,0,3.5,4
'-129,'-129,613515.0224726576,5842708.9490205785,613556.2669634941,5842741.866126715,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 52.76,-129,0,0,3.5,4
'-129,'-129,613515.0224726576,5842708.9490205785,613556.2669634941,5842741.866126715,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 52.76,-129,0,0,3.5,4
'-129,'-129,613515.0637323593,5842708.895264322,613555.9313876264,5842741.523136718,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 52.29,-129,0,0,3.3,4
'172,'172,613556.4397372913,5842738.10216541,613555.9313876264,5842741.523136718,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 3.31,172,0,0,60.7,4
'172,'172,613556.0332484752,5842737.910377785,613555.5884437246,5842741.196667322,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 3.16,172,0,0,60.3,4
'172,'172,613556.0332484752,5842737.910377785,613555.5884437246,5842741.196667322,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 3.16,172,0,0,60.3,4
'172,'172,613556.0332484752,5842737.910377785,613555.5884437246,5842741.196667322,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 3.16,172,0,0,60.3,4
'173,'173,613555.6487612185,5842737.728970829,613555.2426769983,5842740.9331932245,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 3.07,173,0,0,59.8,4
'173,'173,613555.6487612185,5842737.728970829,613555.2426769983,5842740.9331932245,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 3.07,173,0,0,59.8,4
'173,'173,613555.6487612185,5842737.728970829,613555.2426769983,5842740.9331932245,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 3.07,173,0,0,59.8,4
'174,'174,613555.2128246417,5842737.5232893005,613554.8623912835,5842740.60956116,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.94,174,0,0,59.4,4
'174,'174,613555.2128246417,5842737.5232893005,613554.8623912835,5842740.60956116,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.94,174,0,0,59.4,4
'174,'174,613554.8371778177,5842737.346053397,613554.5205637764,5842740.360646107,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.86,174,0,0,58.9,4
'174,'174,613554.8371778177,5842737.346053397,613554.5205637764,5842740.360646107,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.86,174,0,0,58.9,4
'174,'174,613554.8371778177,5842737.346053397,613554.5205637764,5842740.360646107,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.86,174,0,0,58.9,4
'175,'175,613554.3958994007,5842737.1378515065,613554.1153818794,5842740.075938594,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.78,175,0,0,58.4,4
'175,'175,613554.3958994007,5842737.1378515065,613554.1153818794,5842740.075938594,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.78,175,0,0,58.4,4
'175,'175,613553.9449428056,5842736.925083304,613553.7052476527,5842739.776648458,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.68,175,0,0,57.9,4
'175,'175,613553.9449428056,5842736.925083304,613553.7052476527,5842739.776648458,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.68,175,0,0,57.9,4
'175,'175,613553.9449428056,5842736.925083304,613553.7052476527,5842739.776648458,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.68,175,0,0,57.9,4
'176,'176,613553.5123912671,5842736.720998888,613553.2928750784,5842739.529795259,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.63,176,0,0,57.4,4
'176,'176,613553.5123912671,5842736.720998888,613553.2928750784,5842739.529795259,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.63,176,0,0,57.4,4
'176,'176,613553.0911997225,5842736.52227429,613552.900039167,5842739.270971645,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.57,176,0,0,57.0,4
'176,'176,613553.0911997225,5842736.52227429,613552.900039167,5842739.270971645,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.57,176,0,0,57.0,4
'176,'176,613553.0911997225,5842736.52227429,613552.900039167,5842739.270971645,613509.606403948,5842716.00548411,613502.317605072,5842712.56651758, 2.57,176,0,0,57.0,4
