AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,Currentx1,Ccurrenty1
'164,'164,613520.112571013,5842713.46757292,613519.807605246,5842714.49780256,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.807605246,5842714.49780256
'163,'163,613520.108685865,5842713.47255644,613519.801670206,5842714.50118798,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.801670206,5842714.50118798
'163,'163,613520.108685865,5842713.47255644,613519.801670206,5842714.50118798,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.801670206,5842714.50118798
'163,'163,613520.108685865,5842713.47255644,613519.801670206,5842714.50118798,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.801670206,5842714.50118798
'163,'163,613520.107959058,5842713.47348872,613519.802631249,5842714.50343611,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.802631249,5842714.50343611
'163,'163,613520.107959058,5842713.47348872,613519.802631249,5842714.50343611,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.802631249,5842714.50343611
'163,'163,613520.109060929,5842713.47207534,613519.80146674,5842714.50025586,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.80146674,5842714.50025586
'163,'163,613520.109060929,5842713.47207534,613519.80146674,5842714.50025586,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.80146674,5842714.50025586
'163,'163,613520.109060929,5842713.47207534,613519.80146674,5842714.50025586,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.80146674,5842714.50025586
'163,'163,613520.108149309,5842713.47324469,613519.800207006,5842714.50115382,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.800207006,5842714.50115382
'163,'163,613520.108149309,5842713.47324469,613519.800207006,5842714.50115382,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.800207006,5842714.50115382
'163,'163,613520.10853872,5842713.47274518,613519.800778432,5842714.50079621,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.800778432,5842714.50079621
'163,'163,613520.10853872,5842713.47274518,613519.800778432,5842714.50079621,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.800778432,5842714.50079621
'163,'163,613520.10853872,5842713.47274518,613519.800778432,5842714.50079621,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.800778432,5842714.50079621
'163,'163,613520.106487558,5842713.47537623,613519.799354202,5842714.50391602,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.799354202,5842714.50391602
'163,'163,613520.106487558,5842713.47537623,613519.799354202,5842714.50391602,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.799354202,5842714.50391602
'163,'163,613520.107688093,5842713.47383629,613519.801401814,5842714.50303646,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.801401814,5842714.50303646
'163,'163,613520.107688093,5842713.47383629,613519.801401814,5842714.50303646,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.801401814,5842714.50303646
'163,'163,613520.107688093,5842713.47383629,613519.801401814,5842714.50303646,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.801401814,5842714.50303646
'163,'163,613520.108086481,5842713.47332528,613519.80175246,5842714.50248822,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.80175246,5842714.50248822
'163,'163,613520.108086481,5842713.47332528,613519.80175246,5842714.50248822,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.80175246,5842714.50248822
'163,'163,613520.108086481,5842713.47332528,613519.80175246,5842714.50248822,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.80175246,5842714.50248822
'163,'163,613520.106634701,5842713.47518749,613519.800245976,5842714.50430779,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.800245976,5842714.50430779
'163,'163,613520.106634701,5842713.47518749,613519.800245976,5842714.50430779,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.800245976,5842714.50430779
'163,'163,613520.107295078,5842713.47434042,613519.802046838,5842714.50434984,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.802046838,5842714.50434984
'163,'163,613520.107295078,5842713.47434042,613519.802046838,5842714.50434984,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.802046838,5842714.50434984
'163,'163,613520.107295078,5842713.47434042,613519.802046838,5842714.50434984,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.802046838,5842714.50434984
'163,'163,613520.107874742,5842713.47359688,613519.80019402,5842714.50170994,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.80019402,5842714.50170994
'163,'163,613520.107874742,5842713.47359688,613519.80019402,5842714.50170994,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.80019402,5842714.50170994
