latitude(deg)  longitude(deg)
latitude(deg)  longitude(deg)
52.722371954  -7.319472476
52.722372314  -7.319471958
52.722372671  -7.319471428
52.722373037  -7.319470885
52.722373411  -7.31947034
52.722373781  -7.3194698
52.722374151  -7.319469242
52.722374535  -7.319468689
52.722374888  -7.319468209
52.722375246  -7.319467713
52.722375601  -7.319467207
52.722375965  -7.319466697
52.722376325  -7.319466166
52.722376697  -7.319465623
52.722377065  -7.319465075
52.722377442  -7.319464532
52.722377819  -7.319463975
52.722378194  -7.319463411
52.722378569  -7.319462846
52.722378949  -7.319462271
52.72237933  -7.319461693
52.722379718  -7.319461123
52.7223801  -7.319460533
52.72238049  -7.319459949
52.72238089  -7.319459363
52.722381289  -7.319458779
52.722381691  -7.319458177
52.722382092  -7.319457579
52.722382504  -7.319456977
52.722382914  -7.319456375
52.722383321  -7.319455769
52.722383732  -7.319455161
52.722384138  -7.319454551
52.722384564  -7.319453932
52.722384983  -7.319453307
52.722385414  -7.319452685
52.722385828  -7.319452055
52.722386255  -7.319451434
52.722386662  -7.319450835
52.722387098  -7.319450204
52.722387526  -7.319449601
52.722387955  -7.319448976
52.722388397  -7.319448333
52.72238883  -7.319447702
52.722389261  -7.31944706
52.722389708  -7.31944642
52.722390134  -7.319445808
52.722390584  -7.319445158
52.722391037  -7.319444505
52.7223915  -7.319443861
52.722391954  -7.319443202
52.722392399  -7.319442531
52.722392844  -7.319441864
