Aimx,Aimy,Currentx1,Currenty1,Startx,Starty,Finishx,Finishy,dist,ss
613497.321870492,5842726.88118702,613496.628529937,5842727.61141502,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.12,0
613497.610360259,5842726.49525591,613496.947265774,5842727.24809334,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.08,0
613497.610360259,5842726.49525591,613496.947265774,5842727.24809334,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.08,0
613497.876591841,5842726.13910099,613497.257742261,5842726.92501221,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.03,0
613497.876591841,5842726.13910099,613497.257742261,5842726.92501221,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.03,0
613498.127587521,5842725.80332811,613497.531517708,5842726.60626757,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0,0
613498.127587521,5842725.80332811,613497.531517708,5842726.60626757,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0,0
613498.382855765,5842725.46183955,613497.764323404,5842726.24798789,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.02,0
613498.382855765,5842725.46183955,613497.764323404,5842726.24798789,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.02,0
613498.382855765,5842725.46183955,613497.764323404,5842726.24798789,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.02,0
613498.638237158,5842725.12019962,613498.004882383,5842725.89526796,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.04,0
613498.865056371,5842724.81676913,613498.224151774,5842725.58619386,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.05,0
613498.865056371,5842724.81676913,613498.224151774,5842725.58619386,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.05,0
613499.127441725,5842724.46575956,613498.474121973,5842725.22590376,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.07,0
613499.127441725,5842724.46575956,613498.474121973,5842725.22590376,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.07,0
613499.127441725,5842724.46575956,613498.474121973,5842725.22590376,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.07,0
613499.386002823,5842724.11986593,613498.728447246,5842724.87684379,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.07,0
613499.647298283,5842723.77031438,613498.9768158,5842724.51762916,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.09,0
613499.647298283,5842723.77031438,613498.9768158,5842724.51762916,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.09,0
613499.905373444,5842723.42507082,613499.250487487,5842724.18404426,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.07,0
613499.905373444,5842723.42507082,613499.250487487,5842724.18404426,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.07,0
613500.154165322,5842723.09224611,613499.508440721,5842723.85806781,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.06,0
613500.154165322,5842723.09224611,613499.508440721,5842723.85806781,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.06,0
613500.433937251,5842722.71797741,613499.819233406,5842723.50698762,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.02,0
613500.433937251,5842722.71797741,613499.819233406,5842723.50698762,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.02,0
613500.699180462,5842722.3631447,613500.100996018,5842723.16450343,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0,0
613500.965473573,5842722.00690747,613500.388343074,5842722.82400437,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.03,0
613500.965473573,5842722.00690747,613500.388343074,5842722.82400437,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.03,0
613501.241155573,5842721.63811012,613500.656880493,5842722.44986634,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.02,0
613501.241155573,5842721.63811012,613500.656880493,5842722.44986634,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.02,0
613501.485270203,5842721.31154246,613500.897011446,5842722.12032081,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.01,0
613501.485270203,5842721.31154246,613500.897011446,5842722.12032081,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.01,0
613501.744335148,5842720.96497481,613501.107198466,5842721.73721612,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.05,0
613501.744335148,5842720.96497481,613501.107198466,5842721.73721612,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.05,0
613501.987232713,5842720.64003529,613501.324359778,5842721.39303833,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.08,0
