AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,ToEndPoint,GVQual
'99,'99,613513.538428192,5842711.25616221,613506.523750996,5842712.38465127,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.7,4
'99,'99,613513.552300067,5842711.25138692,613506.545828983,5842712.40371414,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.7,4
'99,'99,613513.552300067,5842711.25138692,613506.545828983,5842712.40371414,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.7,4
'99,'99,613513.552300067,5842711.25138692,613506.545828983,5842712.40371414,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.7,4
'99,'99,613513.552300067,5842711.25138692,613506.545828983,5842712.40371414,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.7,4
'100,'100,613513.576153971,5842711.24317539,613506.579162359,5842712.42303978,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,100,0,0,2.7,4
'100,'100,613513.576153971,5842711.24317539,613506.579162359,5842712.42303978,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,100,0,0,2.7,4
'100,'100,613513.576153971,5842711.24317539,613506.579162359,5842712.42303978,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,100,0,0,2.7,4
'100,'100,613513.576153971,5842711.24317539,613506.579162359,5842712.42303978,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,100,0,0,2.7,4
'100,'100,613513.590025845,5842711.2384001,613506.601240346,5842712.44210264,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.590025845,5842711.2384001,613506.601240346,5842712.44210264,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.590025845,5842711.2384001,613506.601240346,5842712.44210264,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.590025845,5842711.2384001,613506.601240346,5842712.44210264,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.609989902,5842711.23152762,613506.623751125,5842712.4426282,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.609989902,5842711.23152762,613506.623751125,5842712.4426282,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.609989902,5842711.23152762,613506.623751125,5842712.4426282,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.633843803,5842711.22331608,613506.6570845,5842712.46195385,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.633843803,5842711.22331608,613506.6570845,5842712.46195385,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.633843803,5842711.22331608,613506.6570845,5842712.46195385,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.633843803,5842711.22331608,613506.6570845,5842712.46195385,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.647715677,5842711.21854079,613506.679162486,5842712.48101671,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.647715677,5842711.21854079,613506.679162486,5842712.48101671,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.647715677,5842711.21854079,613506.679162486,5842712.48101671,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.647715677,5842711.21854079,613506.679162486,5842712.48101671,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.1,100,0,0,2.7,4
'100,'100,613513.661587551,5842711.2137655,613506.701240472,5842712.50007958,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,100,0,0,2.7,4
